region,school,graduates_2019,graduates_2014,median_debt,median_income,debt_to_earnings_ratio,white_pct,aian_pct,asian_pct,black_pct,hisp_pct,unkn_pct,two_plus_pct,men_pct,women_pct,graduates_2018,graduates_2017,graduates_2016,graduates_2015,inst_location,inst_type,inst_classification,inst_special_designations,int_pct_online,inst_undergrads,inst_undergrads_nondeg,inst_pell,inst_low_inc_pct,inst_undergrad_women_pct,inst_undergrad_nonwhite_pct,inst_grads,inst_tuition_instate,inst_tuition_outstate,inst_coa,inst_net_price,inst_net_price_30k,inst_floan_pct,inst_median_debt,inst_completion_rate,inst_econ_mobility_rate,inst_lowinc_to_highinc,inst_inc_6yr,inst_inc_10yr,inst_inc_10yr_grad
"New York-Newark-Jersey City, NY-NJ-PA","Union County Vocational Technical School",64,94,"Data Unavailable","Data Unavailable",Data Unavailable,0.500,0.000,0.000,0.281,0.219,0.000,0.000,0.781,0.219,68,74,73,126,"New Jersey, Scotch Plains","Public","Data Unavailable","",0.000,105,"Data Unavailable",0.174,"Data Unavailable",0.219,0.500,"Data Unavailable","Data Unavailable","Data Unavailable",14100,11013,8955,0.430,"Data Unavailable",0.918,"Data Unavailable","Data Unavailable",40159,32293,"Data Unavailable"
"New York-Newark-Jersey City, NY-NJ-PA","Union Theological Seminary in the City of New York",68,57,60760,49464,1.228,0.397,0.000,0.015,0.235,0.191,0.000,0.059,0.353,0.647,68,70,68,70,"New York, New York","Private, Non-profit","Data Unavailable","",0.049,"Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable",0.647,0.500,246,"Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable"
"New York-Newark-Jersey City, NY-NJ-PA","United States Merchant Marine Academy",202,227,"Data Unavailable","Data Unavailable",Data Unavailable,0.723,0.020,0.069,0.030,0.079,0.079,0.000,0.832,0.168,202,177,232,231,"New York, Kings Point","Public","Data Unavailable","",0.018,1007,"Data Unavailable",0.074,0.225,0.168,0.198,18,1050,1050,9075,6433,4002,0.861,10002,0.748,0.022,0.096,"Data Unavailable",83209,30747
"New York-Newark-Jersey City, NY-NJ-PA","United States Military Academy",1052,1090,"Data Unavailable","Data Unavailable",Data Unavailable,0.651,0.009,0.079,0.097,0.107,0.010,0.034,0.773,0.227,1050,1026,991,1033,"New York, West  Point","Public","Data Unavailable","",0.000,4457,"Data Unavailable","Data Unavailable","Data Unavailable",0.227,0.329,"Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable",0.802,"Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable"
"New York-Newark-Jersey City, NY-NJ-PA","United Talmudical Seminary",335,205,"Data Unavailable","Data Unavailable",Data Unavailable,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,310,333,243,285,"New York, Brooklyn","Private, Non-profit","Nonselective four-year private not-for-profit","Men-Only College",0.000,2020,"Data Unavailable",0.873,0.610,0.000,0.000,745,14000,14000,23882,9659,9532,"Data Unavailable","Data Unavailable",0.000,0.072,0.118,19594,21284,16983
"New York-Newark-Jersey City, NY-NJ-PA","Universal Technical Institute-Bloomfield (Branch Campus)",8,0,15188,38317,0.396,0.375,0.000,0.000,0.000,0.375,0.125,0.125,1.000,0.000,0,0,0,0,"New Jersey, Bloomfield","Private, For-profit","Two-year for-profit","",0.000,733,"Data Unavailable",0.708,"Data Unavailable",0.000,0.500,"Data Unavailable","Data Unavailable","Data Unavailable",25830,21715,20285,"Data Unavailable",15036,"Data Unavailable","Data Unavailable","Data Unavailable",39395,51180,"Data Unavailable"
"New York-Newark-Jersey City, NY-NJ-PA","Universal Training Institute",47,29,12183,45305,0.269,0.085,0.000,0.085,0.702,0.128,0.000,0.000,0.170,0.830,55,64,49,49,"New Jersey, Perth Amboy","Private, For-profit","Data Unavailable","",0.000,172,"Data Unavailable",0.506,0.225,0.830,0.915,"Data Unavailable","Data Unavailable","Data Unavailable",43291,39580,39240,"Data Unavailable",10160,0.340,0.022,0.096,"Data Unavailable","Data Unavailable",30747
"New York-Newark-Jersey City, NY-NJ-PA","Uta Mesivta of Kiryas Joel",383,265,"Data Unavailable","Data Unavailable",Data Unavailable,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,384,324,392,293,"New York, Monroe","Private, Non-profit","Nonselective four-year private not-for-profit","Men-Only College",0.000,2016,"Data Unavailable",0.887,"Data Unavailable",0.000,0.000,"Data Unavailable",13000,13000,19520,5310,4835,"Data Unavailable","Data Unavailable",0.000,"Data Unavailable","Data Unavailable",21026,24698,"Data Unavailable"
"New York-Newark-Jersey City, NY-NJ-PA","Vassar College",694,689,18928,36132,0.524,0.600,0.000,0.122,0.043,0.094,0.000,0.067,0.413,0.587,642,682,684,676,"New York, Poughkeepsie","Private, Non-profit","Other elite schools (public and private)","",0.000,2421,18,0.230,0.034,0.587,0.326,"Data Unavailable",58770,58770,72724,26208,8186,0.725,18707,0.863,0.011,0.326,"Data Unavailable",62332,51060
"New York-Newark-Jersey City, NY-NJ-PA","Vaughn College of Aeronautics and Technology",303,394,19000,46899,0.405,0.142,0.003,0.109,0.145,0.317,0.185,0.026,0.865,0.135,282,269,279,311,"New York, Flushing","Private, Non-profit","Nonselective four-year private not-for-profit","Asian American Native American Pacific Islander-Serving Institution, Hispanic-serving Institution",0.273,1625,3,0.573,0.365,0.135,0.617,6,26150,26150,47121,39391,38501,0.758,22750,0.130,0.164,0.448,63650,65445,58830
"New York-Newark-Jersey City, NY-NJ-PA","Veeb Nassau County School of Practical Nursing",133,186,9500,49292,0.193,0.053,0.000,0.023,0.729,0.165,0.000,0.030,0.098,0.902,134,153,147,135,"New York, Hicksville","Public","Data Unavailable","",0.000,190,"Data Unavailable",0.730,0.225,0.902,0.947,"Data Unavailable",18755,18755,36434,31528,31258,0.871,9500,0.758,0.022,0.096,51783,69759,30747
"New York-Newark-Jersey City, NY-NJ-PA","Wagner College",634,678,26778,48725,0.550,0.669,0.002,0.052,0.062,0.100,0.066,0.028,0.354,0.646,674,633,602,638,"New York, Staten Island","Private, Non-profit","Selective private","",0.000,1712,28,0.206,0.052,0.646,0.244,419,48280,48280,60792,33307,24148,0.956,25000,0.700,0.022,0.422,70818,69383,64380
"New York-Newark-Jersey City, NY-NJ-PA","Webb Institute",21,15,"Data Unavailable",71351,Data Unavailable,0.667,0.000,0.238,0.000,0.000,0.000,0.095,0.714,0.286,21,19,19,20,"New York, Glen Cove","Private, Non-profit","Data Unavailable","",0.000,102,"Data Unavailable",0.029,0.225,0.286,0.333,"Data Unavailable",51690,51690,70825,15684,"Data Unavailable","Data Unavailable","Data Unavailable",0.769,0.022,0.096,"Data Unavailable","Data Unavailable",30747
"New York-Newark-Jersey City, NY-NJ-PA","Weill Medical College of Cornell University (Branch Campus)",231,149,147645,110432,1.337,0.316,0.000,0.190,0.035,0.056,0.139,0.039,0.459,0.541,149,133,116,141,"New York, New York","Private, Non-profit","Ivy Plus","",0.017,"Data Unavailable","Data Unavailable","Data Unavailable",0.049,0.541,0.320,1327,"Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable",0.783,14500,"Data Unavailable",0.029,0.594,53854,91176,88578
"New York-Newark-Jersey City, NY-NJ-PA","Westchester School for Dental Assistant",67,0,3666,27490,0.133,0.119,0.000,0.000,0.194,0.687,0.000,0.000,0.075,0.925,123,104,119,146,"New York, Elmsford","Private, For-profit","Data Unavailable","",0.000,91,"Data Unavailable",0.976,"Data Unavailable",0.925,0.881,"Data Unavailable","Data Unavailable","Data Unavailable",17387,12392,13324,0.686,4247,1.000,"Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable"
"New York-Newark-Jersey City, NY-NJ-PA","Westchester School of Beauty Culture",43,66,"Data Unavailable",23340,Data Unavailable,0.186,0.000,0.047,0.349,0.302,0.000,0.000,0.023,0.977,42,45,50,69,"New York, Mount Vernon","Private, For-profit","Data Unavailable","",0.000,72,"Data Unavailable",0.612,0.225,0.977,0.698,"Data Unavailable","Data Unavailable","Data Unavailable",15685,9504,8892,0.709,"Data Unavailable",0.000,0.022,0.096,"Data Unavailable","Data Unavailable",30747
"New York-Newark-Jersey City, NY-NJ-PA","Western Suffolk BOCES",157,158,12996,43575,0.298,0.643,0.013,0.025,0.102,0.166,0.032,0.019,0.287,0.713,134,168,201,193,"New York, Northport","Public","Data Unavailable","",0.000,334,"Data Unavailable",0.382,0.225,0.713,0.325,"Data Unavailable","Data Unavailable","Data Unavailable",24692,20645,19407,0.778,10827,0.700,0.022,0.096,43340,48513,30747
"New York-Newark-Jersey City, NY-NJ-PA","William Paterson University of New Jersey",2215,2340,22815,36134,0.631,0.462,0.001,0.073,0.129,0.275,0.024,0.026,0.394,0.606,2599,2462,2557,2409,"New Jersey, Wayne","Public","Selective public","Hispanic-serving Institution",0.300,8463,142,0.490,0.088,0.606,0.504,1500,13370,21768,24539,19547,18910,0.872,23000,0.340,0.028,0.323,45748,51506,52059
"New York-Newark-Jersey City, NY-NJ-PA","Yeshiva Bais Aharon",2,0,"Data Unavailable","Data Unavailable",Data Unavailable,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,2,2,0,0,"New Jersey, Lakewood","Private, Non-profit","Data Unavailable","",0.000,31,"Data Unavailable",0.537,"Data Unavailable",0.000,0.000,"Data Unavailable",9075,9075,15175,8195,7611,"Data Unavailable","Data Unavailable",0.000,"Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable"
