region,school,graduates_2019,graduates_2014,median_debt,median_income,debt_to_earnings_ratio,white_pct,aian_pct,asian_pct,black_pct,hisp_pct,unkn_pct,two_plus_pct,men_pct,women_pct,graduates_2018,graduates_2017,graduates_2016,graduates_2015,inst_location,inst_type,inst_classification,inst_special_designations,int_pct_online,inst_undergrads,inst_undergrads_nondeg,inst_pell,inst_low_inc_pct,inst_undergrad_women_pct,inst_undergrad_nonwhite_pct,inst_grads,inst_tuition_instate,inst_tuition_outstate,inst_coa,inst_net_price,inst_net_price_30k,inst_floan_pct,inst_median_debt,inst_completion_rate,inst_econ_mobility_rate,inst_lowinc_to_highinc,inst_inc_6yr,inst_inc_10yr,inst_inc_10yr_grad
"Erie & Sandusky Counties","Sandusky Career Center",66,38,12614,35179,0.359,0.727,0.000,0.000,0.182,0.015,0.015,0.061,0.273,0.727,67,42,43,64,"Ohio, Sandusky","Public","Data Unavailable","",0.000,120,"Data Unavailable",0.589,0.225,0.727,0.258,"Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable",12773,0.684,0.022,0.096,34221,33245,30747
"Erie & Sandusky Counties","Terra State Community College",422,405,15876,29685,0.535,0.831,0.002,0.002,0.019,0.084,0.036,0.026,0.527,0.473,373,409,289,467,"Ohio, Fremont","Public","Two-year (public and private not-for-profit)","",0.492,1385,924,0.291,0.106,0.473,0.134,"Data Unavailable",5228,9452,16441,12126,11546,0.675,18625,0.093,0.008,0.080,27957,35146,33966
"Erie & Sandusky Counties","Vanguard-Sentinel Adult Career and Technology Center",22,35,"Data Unavailable","Data Unavailable",Data Unavailable,0.682,0.000,0.045,0.182,0.091,0.000,0.000,0.227,0.773,21,33,28,28,"Ohio, Fremont","Public","Data Unavailable","",0.000,26,"Data Unavailable",0.604,0.225,0.773,0.318,"Data Unavailable","Data Unavailable","Data Unavailable",23390,21204,21204,"Data Unavailable","Data Unavailable",0.800,0.022,0.096,30064,"Data Unavailable",30747
"Erie, PA","Edinboro University of Pennsylvania",1386,1626,27000,36668,0.736,0.843,0.003,0.008,0.061,0.025,0.020,0.024,0.345,0.655,1480,1495,1481,1584,"Pennsylvania, Edinboro","Public","Selective public","",0.392,3244,155,0.426,0.081,0.655,0.122,1247,10574,15002,21967,16833,13169,0.922,26000,0.329,0.010,0.124,32387,37587,38406
"Erie, PA","Erie Institute of Technology Inc",102,113,"Data Unavailable","Data Unavailable",Data Unavailable,0.853,0.000,0.010,0.059,0.049,0.000,0.029,0.922,0.078,251,211,150,119,"Pennsylvania, Erie","Private, For-profit","Data Unavailable","",0.000,225,"Data Unavailable",0.592,0.225,0.078,0.147,"Data Unavailable",14839,14839,26551,19453,18500,0.798,11032,0.868,0.022,0.096,37984,34052,30747
"Erie, PA","Gannon University",992,1032,27000,46347,0.583,0.783,0.000,0.009,0.029,0.015,0.046,0.014,0.380,0.620,1168,1198,1223,1197,"Pennsylvania, Erie","Private, Non-profit","Selective private","",0.152,2866,566,0.270,0.068,0.620,0.067,1012,33226,33226,44896,21431,16984,0.932,27000,0.513,0.014,0.211,39008,56550,54390
"Erie, PA","Great Lakes Institute of Technology",242,268,20000,22973,0.871,0.756,0.004,0.025,0.112,0.058,0.017,0.029,0.087,0.913,244,268,257,309,"Pennsylvania, Erie","Private, For-profit","Two-year for-profit","",0.000,441,1,0.694,"Data Unavailable",0.913,0.227,"Data Unavailable","Data Unavailable","Data Unavailable",18576,14018,13772,0.900,11133,0.714,"Data Unavailable","Data Unavailable",22140,26002,"Data Unavailable"
"Erie, PA","Lake Erie College of Osteopathic Medicine",336,137,34510,18771,1.838,0.592,0.000,0.232,0.065,0.083,0.000,0.021,0.488,0.512,275,200,205,161,"Pennsylvania, Erie","Private, Non-profit","Data Unavailable","",0.082,7,"Data Unavailable",0.000,"Data Unavailable",0.512,0.408,4215,"Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable"
"Erie, PA","Mercyhurst University",687,626,27000,37856,0.713,0.753,0.001,0.012,0.052,0.036,0.052,0.000,0.371,0.629,737,688,714,708,"Pennsylvania, Erie","Private, Non-profit","Selective private","",0.146,2375,3,0.287,0.056,0.629,0.103,326,40170,40170,52417,23886,19415,0.940,26000,0.591,0.008,0.150,34226,46423,45399
"Erie, PA","Mercyhurst University-North East Campus (Branch Campus)",212,358,20000,50606,0.395,0.741,0.014,0.014,0.123,0.028,0.075,0.000,0.448,0.552,300,205,264,306,"Pennsylvania, North East","Private, Non-profit","Selective private","",0.000,566,46,0.606,0.056,0.552,0.184,"Data Unavailable",19120,19120,29624,17177,13925,0.940,26000,0.302,0.008,0.150,34226,46423,45399
"Erie, PA","Pennsylvania State University-Penn State Erie-Behrend College (Branch Campus)",1078,895,26000,58866,0.442,0.870,0.001,0.025,0.020,0.030,0.011,0.021,0.624,0.376,1016,973,930,954,"Pennsylvania, Erie","Public","Selective public","","Data Unavailable",0,0,"Data Unavailable",0.058,0.376,0.097,0,15206,24916,"Data Unavailable","Data Unavailable","Data Unavailable",0.902,25000,"Data Unavailable",0.018,0.302,47751,58227,56499
"Eugene, OR","Bushnell University",248,190,20500,43426,0.472,0.746,0.032,0.024,0.024,0.077,0.012,0.069,0.327,0.673,264,241,239,192,"Oregon, Eugene","Private, Non-profit","Data Unavailable","",0.675,559,33,0.393,0.225,0.673,0.230,213,31410,31410,41215,20576,20623,0.910,22414,0.451,0.022,0.096,43049,46847,30747
"Eugene, OR","Lane Community College",2017,1760,10000,24808,0.403,0.655,0.012,0.019,0.014,0.129,0.059,0.051,0.453,0.547,2178,1914,1854,1588,"Oregon, Eugene","Public","Two-year (public and private not-for-profit)","",0.353,6810,2051,0.317,0.119,0.547,0.228,"Data Unavailable",4956,10590,12734,8553,8475,0.619,15424,0.058,0.011,0.091,27041,34306,28083
"Eugene, OR","New Hope Christian College-Eugene",14,29,"Data Unavailable","Data Unavailable",Data Unavailable,0.571,0.000,0.071,0.000,0.143,0.000,0.143,0.357,0.643,22,31,14,20,"Oregon, Eugene","Private, Non-profit","Data Unavailable","",0.011,92,"Data Unavailable",0.674,0.225,0.643,0.429,"Data Unavailable",15700,15700,25930,16404,15866,"Data Unavailable","Data Unavailable",0.455,0.022,0.096,23986,35401,30747
"Eugene, OR","Northwest College-Eugene (Branch Campus)",115,81,8914,20140,0.443,0.800,0.009,0.000,0.043,0.087,0.017,0.043,0.052,0.948,88,62,61,69,"Oregon, Springfield","Private, For-profit","Data Unavailable","",0.000,164,"Data Unavailable",0.159,0.225,0.948,0.183,"Data Unavailable","Data Unavailable","Data Unavailable",21444,16468,16468,0.929,7111,0.127,0.022,0.096,21117,24353,30747
"Eugene, OR","University of Oregon",6262,6235,20995,35964,0.584,0.605,0.007,0.057,0.015,0.107,0.013,0.064,0.443,0.557,6224,6375,6241,6389,"Oregon, Eugene","Public","Selective public","",0.144,18743,145,0.256,0.049,0.557,0.253,3629,12720,36615,26205,16461,12690,0.851,20500,0.562,0.014,0.291,38251,53472,48507
"Evansville, IN-KY","Henderson Community College",468,620,8920,22667,0.394,0.835,0.000,0.006,0.105,0.028,0.002,0.024,0.310,0.690,502,570,541,518,"Kentucky, Henderson","Public","Two-year (public and private not-for-profit)","",0.410,957,651,0.375,"Data Unavailable",0.690,0.162,"Data Unavailable",4368,14808,11143,4848,3904,0.395,11400,0.216,"Data Unavailable","Data Unavailable",27016,30760,"Data Unavailable"
"Evansville, IN-KY","Oakland City University",268,245,26000,46087,0.564,0.772,0.007,0.000,0.097,0.022,0.071,0.011,0.504,0.496,274,255,212,246,"Indiana, Oakland City","Private, Non-profit","Selective private","",0.100,602,663,0.185,0.124,0.496,0.138,170,24300,24300,37276,11894,8326,0.831,18750,0.372,0.003,0.027,40503,37286,30525
"Evansville, IN-KY","Rogers Academy of Hair Design",48,59,10364,16314,0.635,0.750,0.000,0.000,0.188,0.000,0.042,0.021,0.438,0.563,46,41,39,55,"Indiana, Evansville","Private, For-profit","Data Unavailable","",0.000,95,"Data Unavailable",0.627,0.225,0.563,0.208,"Data Unavailable","Data Unavailable","Data Unavailable",17164,15502,14007,0.875,12250,0.500,0.022,0.096,15492,19916,30747
"Evansville, IN-KY","Ross Medical Education Center-Evansville (Branch Campus)",60,8,9500,21319,0.446,0.800,0.000,0.000,0.133,0.050,0.000,0.017,0.033,0.967,87,86,148,142,"Indiana, Evansville","Private, For-profit","Data Unavailable","",0.000,84,"Data Unavailable",0.703,0.225,0.967,0.200,"Data Unavailable","Data Unavailable","Data Unavailable",23437,19829,19560,0.890,9500,0.507,0.022,0.096,27231,31670,30747
"Evansville, IN-KY","The Salon Professional Academy-Evansville",110,85,9833,17218,0.571,0.955,0.000,0.000,0.027,0.000,0.000,0.018,0.018,0.982,79,88,68,70,"Indiana, Evansville","Private, For-profit","Data Unavailable","",0.000,136,"Data Unavailable",0.351,0.225,0.982,0.045,"Data Unavailable","Data Unavailable","Data Unavailable",14618,10716,10716,0.899,9833,0.550,0.022,0.096,16786,"Data Unavailable",30747
"Evansville, IN-KY","University of Evansville",577,670,25971,38829,0.669,0.753,0.002,0.029,0.017,0.033,0.034,0.011,0.425,0.575,534,541,590,669,"Indiana, Evansville","Private, Non-profit","Selective private","",0.122,1876,248,0.225,0.050,0.575,0.095,247,37466,37466,50135,21626,15212,0.900,25183,0.554,0.011,0.222,55213,50415,46176
"Evansville, IN-KY","University of Southern Indiana",2254,2002,19901,38289,0.520,0.887,0.000,0.019,0.037,0.023,0.001,0.015,0.341,0.659,2004,2045,1953,1990,"Indiana, Evansville","Public","Selective public","",0.540,7029,2133,0.266,0.063,0.659,0.095,1543,8546,19856,19721,13437,8244,0.829,20734,0.311,0.006,0.101,37421,41923,39294
"Fairbanks, AK","University of Alaska Fairbanks",1432,1538,19249,39369,0.489,0.538,0.110,0.018,0.021,0.061,0.150,0.070,0.409,0.591,1442,1543,1559,1524,"Alaska, Fairbanks","Public","Selective public","Alaska Native Native Hawaiian Serving Institution, Native American Non-tribal Institution",0.678,4410,1796,0.235,0.080,0.591,0.285,973,7080,21216,18558,10333,7133,0.643,19582,0.254,0.015,0.192,33756,43728,39183
"Fairbanks, AK","University of Alaska Southeast",565,681,20314,51794,0.392,0.563,0.096,0.028,0.009,0.064,0.126,0.088,0.368,0.632,668,641,672,583,"Alaska, Juneau","Public","Selective public","Alaska Native Native Hawaiian Serving Institution, Native American Non-tribal Institution",0.662,1156,730,0.176,0.080,0.632,0.301,264,6696,20832,18063,11787,9605,0.673,20000,0.133,0.015,0.192,37930,40727,39183
"Far Southeast New Mexico","New Mexico Junior College",485,415,6500,21234,0.306,0.348,0.006,0.014,0.095,0.505,0.010,0.019,0.373,0.627,395,646,394,398,"New Mexico, Hobbs","Public","Two-year (public and private not-for-profit)","",0.500,1665,662,0.280,0.220,0.627,0.639,"Data Unavailable",1320,1968,9846,7381,6301,0.210,9250,0.174,0.043,0.197,30121,33314,34743
"Far Southeast New Mexico","New Mexico State University-Carlsbad (Branch Campus)",184,94,10250,24068,0.426,0.451,0.000,0.005,0.011,0.495,0.011,0.022,0.337,0.663,181,114,119,136,"New Mexico, Carlsbad","Public","Selective public","Hispanic-serving Institution",0.427,559,1362,0.236,0.179,0.663,0.533,"Data Unavailable",1276,4108,14126,7715,7463,0.461,18464,0.155,0.032,0.178,27801,36683,37185
"Far Southeast New Mexico","University of the Southwest",295,142,41001,46673,0.878,0.424,0.014,0.024,0.132,0.278,0.122,0.000,0.332,0.668,279,273,237,213,"New Mexico, Hobbs","Private, Non-profit","Data Unavailable","Hispanic-serving Institution",1.000,329,2,0.526,0.225,0.668,0.454,544,16200,16200,25850,20850,20105,0.901,23000,0.234,0.022,0.096,33623,43241,30747
"Fargo, ND-MN","Concordia College at Moorhead",506,619,26854,38443,0.699,0.838,0.005,0.010,0.006,0.011,0.075,0.022,0.380,0.620,470,616,589,646,"Minnesota, Moorhead","Private, Non-profit","Selective private","",0.087,1933,77,0.215,0.045,0.620,0.057,32,41566,41566,51569,23029,17881,0.977,26490,0.694,0.014,0.300,46051,51988,50616
"Fargo, ND-MN","Lynnes Welding Training",33,73,4339,41193,0.105,0.788,0.000,0.030,0.121,0.030,0.000,0.030,0.939,0.061,43,26,49,46,"North Dakota, Fargo","Private, For-profit","Data Unavailable","",0.000,32,"Data Unavailable",0.238,"Data Unavailable",0.061,0.212,"Data Unavailable","Data Unavailable","Data Unavailable",20835,13307,6659,"Data Unavailable","Data Unavailable",0.632,"Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable"
"Fargo, ND-MN","Minnesota State University Moorhead",1588,1456,20490,39609,0.517,0.832,0.003,0.017,0.023,0.027,0.017,0.025,0.343,0.657,1454,1508,1502,1504,"Minnesota, Moorhead","Public","Selective public","",0.544,4420,253,0.290,0.078,0.657,0.096,1074,8954,16586,21525,16893,12484,0.920,20500,0.342,0.011,0.145,44917,47117,40959
"Fargo, ND-MN","North Dakota State University-Main Campus",3198,2899,23250,47260,0.492,0.849,0.007,0.011,0.026,0.020,0.019,0.016,0.520,0.480,3207,3034,3001,3094,"North Dakota, Fargo","Public","Selective public","",0.404,10579,252,0.209,0.052,0.480,0.082,2342,9754,13892,21497,16584,11524,0.932,23000,0.350,0.017,0.328,49635,56246,56166
"Fargo, ND-MN","Northland Community and Technical College",927,1346,13396,37208,0.360,0.830,0.018,0.013,0.054,0.040,0.006,0.029,0.421,0.579,954,1163,1192,965,"Minnesota, Thief River Falls","Public","Selective public","",0.449,2117,1103,0.301,0.078,0.579,0.155,"Data Unavailable",5715,5715,15137,10860,8516,0.771,12264,0.304,0.011,0.145,32010,41091,40959
"Fargo, ND-MN","Rasmussen University-North Dakota (Branch Campus)",327,389,20000,39164,0.511,0.654,0.018,0.012,0.073,0.031,0.183,0.028,0.104,0.896,290,242,109,404,"North Dakota, Fargo","Private, For-profit","Four-year for-profit","",0.841,642,2,0.509,"Data Unavailable",0.896,0.162,9,10935,10935,23935,18939,18180,0.903,20000,0.714,"Data Unavailable","Data Unavailable",32383,35667,"Data Unavailable"
"Fargo, ND-MN","The Salon Professional Academy-Fargo",82,71,12000,25856,0.464,0.927,0.024,0.024,0.012,0.012,0.000,0.000,0.024,0.976,90,81,64,84,"North Dakota, Fargo","Private, For-profit","Data Unavailable","",0.000,129,"Data Unavailable",0.283,0.225,0.976,0.073,"Data Unavailable","Data Unavailable","Data Unavailable",17519,14201,14201,"Data Unavailable",12000,0.375,0.022,0.096,24877,32182,30747
"Fargo, ND-MN","University of Minnesota-Crookston",435,474,22131,51169,0.433,0.776,0.000,0.025,0.052,0.038,0.025,0.026,0.481,0.519,442,453,461,435,"Minnesota, Crookston","Public","Highly selective public","",0.457,1839,929,0.232,0.038,0.519,0.142,"Data Unavailable",12116,12116,23290,10952,5832,0.898,19873,0.428,0.012,0.305,53056,47869,54168
"Farmington, NM","Navajo Technical University",202,250,"Data Unavailable","Data Unavailable",Data Unavailable,0.000,0.975,0.010,0.005,0.005,0.000,0.000,0.381,0.619,273,237,234,227,"New Mexico, Crownpoint","Public","Data Unavailable","Alaska Native Native Hawaiian Serving Institution, Tribal College and University",0.108,1179,652,0.700,0.225,0.619,0.995,18,4070,4070,10673,4962,5016,"Data Unavailable","Data Unavailable",0.000,0.022,0.096,17943,23342,30747
"Farmington, NM","New Mexico State University-Grants (Branch Campus)",64,126,10250,24068,0.426,0.250,0.359,0.000,0.000,0.344,0.000,0.016,0.203,0.797,105,101,95,105,"New Mexico, Grants","Public","Selective public","Alaska Native Native Hawaiian Serving Institution, Hispanic-serving Institution, Native American Non-tribal Institution",0.851,256,557,0.386,0.179,0.797,0.719,"Data Unavailable",2064,4104,12468,5388,5174,0.461,18464,0.176,0.032,0.178,27801,36683,37185
"Farmington, NM","San Juan College",1576,1275,6785,35701,0.190,0.537,0.135,0.006,0.008,0.143,0.146,0.018,0.339,0.661,1648,1921,1936,1755,"New Mexico, Farmington","Public","Two-year (public and private not-for-profit)","Alaska Native Native Hawaiian Serving Institution, Native American Non-tribal Institution",0.475,4762,1979,0.319,0.180,0.661,0.310,"Data Unavailable",1546,4330,12440,6115,5586,0.230,10776,0.138,0.027,0.149,29690,32286,28416
"Farmington, NM","University of New Mexico-Gallup Campus (Branch Campus)",376,267,9661,16874,0.573,0.053,0.734,0.029,0.003,0.144,0.008,0.021,0.322,0.678,323,282,244,223,"New Mexico, Gallup","Public","Selective public","",0.359,1638,849,0.454,0.136,0.678,0.931,"Data Unavailable",1932,4855,11561,6622,6219,0.523,18500,0.055,0.020,0.150,33380,41674,38739
"Fayetteville, NC","Carolina College of Biblical Studies",46,14,"Data Unavailable","Data Unavailable",Data Unavailable,0.283,0.000,0.022,0.587,0.065,0.000,0.043,0.500,0.500,28,30,20,16,"North Carolina, Fayetteville","Private, Non-profit","Data Unavailable","",0.644,166,"Data Unavailable",0.632,"Data Unavailable",0.500,0.717,14,5300,5300,26920,23083,22509,0.664,25750,0.000,"Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable"
"Fayetteville, NC","Fayetteville State University",1213,1165,23590,33077,0.713,0.280,0.032,0.024,0.540,0.066,0.038,0.010,0.285,0.715,1180,1180,1138,1088,"North Carolina, Fayetteville","Public","Selective public","Historically Black Colleges and Universities",0.702,5061,583,0.557,0.252,0.715,0.674,907,5274,16882,16044,5899,4330,0.794,22890,0.157,0.024,0.096,35112,36409,31857
"Fayetteville, NC","Fayetteville Technical Community College",4539,2457,13809,26960,0.512,0.393,0.024,0.018,0.375,0.112,0.023,0.046,0.496,0.504,3788,4248,4481,3678,"North Carolina, Fayetteville","Public","Two-year (public and private not-for-profit)","",0.767,9834,2187,0.424,0.217,0.504,0.581,"Data Unavailable",2544,8688,12423,5366,4126,0.440,10500,0.088,0.019,0.087,24418,28838,27084
"Fayetteville, NC","Grace College of Divinity",26,27,"Data Unavailable","Data Unavailable",Data Unavailable,0.731,0.000,0.000,0.077,0.154,0.000,0.038,0.500,0.500,40,41,29,26,"North Carolina, Fayetteville","Private, Non-profit","Data Unavailable","",0.904,138,7,0.331,0.225,0.500,0.269,42,6100,6100,15851,13678,"Data Unavailable",0.658,"Data Unavailable",0.000,0.022,0.096,"Data Unavailable","Data Unavailable",30747
"Fayetteville, NC","Methodist University",493,442,27000,39153,0.690,0.559,0.008,0.012,0.140,0.052,0.072,0.028,0.435,0.565,507,461,424,427,"North Carolina, Fayetteville","Private, Non-profit","Selective private","",0.104,1625,21,0.387,0.143,0.565,0.243,322,34522,34522,55072,32906,31953,0.837,27000,0.281,0.032,0.220,35608,45768,43623
"Fayetteville, NC","Paul Mitchell the School-Fayetteville",76,79,11529,18328,0.629,0.513,0.039,0.026,0.224,0.105,0.000,0.092,0.039,0.961,64,89,110,109,"North Carolina, Fayetteville","Private, For-profit","Data Unavailable","",0.000,191,"Data Unavailable",0.611,0.225,0.961,0.487,"Data Unavailable","Data Unavailable","Data Unavailable",17769,13441,12639,0.879,11311,0.056,0.022,0.096,25167,18461,30747
"Fayetteville, NC","Platt College-Miller-Motte-Fayetteville (Branch Campus)",396,673,8007,23738,0.337,0.202,0.025,0.010,0.591,0.091,0.051,0.025,0.465,0.535,561,595,726,921,"North Carolina, Fayetteville","Private, For-profit","Four-year for-profit","",0.486,434,"Data Unavailable",0.570,0.338,0.535,0.747,"Data Unavailable","Data Unavailable","Data Unavailable",27217,23088,23005,0.913,14000,0.268,0.004,0.011,24558,28204,15762
"Fayetteville, NC","Richmond Community College",844,380,"Data Unavailable",21660,Data Unavailable,0.488,0.081,0.015,0.238,0.065,0.086,0.021,0.415,0.585,889,790,767,423,"North Carolina, Hamlet","Public","Two-year (public and private not-for-profit)","",0.516,1491,1095,0.450,0.287,0.585,0.421,"Data Unavailable",2516,8660,11325,2598,2111,"Data Unavailable","Data Unavailable",0.245,0.007,0.025,23772,26134,24087
"Fayetteville, NC","St. Andrews University (Branch Campus)",105,80,17332,34704,0.499,0.590,0.010,0.000,0.076,0.057,0.067,0.029,0.362,0.638,128,144,120,106,"North Carolina, Laurinburg","Private, Non-profit","Selective private","",0.364,724,20,0.378,0.136,0.638,0.171,14,27846,27846,42903,22666,19849,0.944,22750,0.337,0.015,0.110,37642,41711,46620
"Fayetteville-Springdale-Rogers, AR-MO","Academy of Professional Cosmetology",38,0,6211,20140,0.308,0.868,0.000,0.000,0.079,0.053,0.000,0.000,0.000,1.000,30,26,22,20,"Arkansas, Rogers","Private, For-profit","Data Unavailable","",0.000,83,"Data Unavailable",0.453,"Data Unavailable",1.000,0.132,"Data Unavailable","Data Unavailable","Data Unavailable",11440,3426,3426,0.796,6211,0.083,"Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable","Data Unavailable"
"Fayetteville-Springdale-Rogers, AR-MO","Arkansas State University-Mountain Home",521,581,11000,29685,0.371,0.954,0.000,0.004,0.002,0.013,0.000,0.027,0.464,0.536,606,571,571,593,"Arkansas, Mountain Home","Public","Data Unavailable","",0.597,939,386,0.509,"Data Unavailable",0.536,0.046,"Data Unavailable",2904,4464,16176,10259,9333,0.469,10873,0.385,"Data Unavailable","Data Unavailable",26853,32246,"Data Unavailable"
"Fayetteville-Springdale-Rogers, AR-MO","Blue Cliff College-Fayetteville (Branch Campus)",100,191,9500,18350,0.518,0.690,0.000,0.010,0.070,0.170,0.000,0.030,0.130,0.870,158,129,192,146,"Arkansas, Fayetteville","Private, For-profit","Two-year for-profit","",0.000,189,"Data Unavailable",0.808,"Data Unavailable",0.870,0.310,"Data Unavailable","Data Unavailable","Data Unavailable",23265,18918,18918,0.863,9855,0.089,"Data Unavailable","Data Unavailable",18368,23118,"Data Unavailable"
"Fayetteville-Springdale-Rogers, AR-MO","Bryan University (Branch Campus)",32,57,23500,26933,0.873,0.406,0.031,0.031,0.000,0.438,0.000,0.000,0.188,0.813,56,82,77,102,"Arkansas, Rogers","Private, For-profit","Data Unavailable","",1.000,52,"Data Unavailable",0.872,0.225,0.813,0.594,"Data Unavailable",15433,15433,24556,18646,17936,0.842,22402,0.596,0.022,0.096,22179,25720,30747
"Fayetteville-Springdale-Rogers, AR-MO","Career Academy of Hair Design",150,160,7395,16362,0.452,0.580,0.020,0.047,0.053,0.273,0.000,0.020,0.047,0.953,142,126,140,175,"Arkansas, Springdale","Private, For-profit","Data Unavailable","",0.000,184,"Data Unavailable",0.788,0.225,0.953,0.420,"Data Unavailable","Data Unavailable","Data Unavailable",16566,11257,10687,0.871,9149,0.349,0.022,0.096,18804,22182,30747
"Fayetteville-Springdale-Rogers, AR-MO","College of the Ozarks",336,329,"Data Unavailable",29685,Data Unavailable,0.946,0.000,0.009,0.003,0.013,0.006,0.016,0.426,0.574,268,384,306,338,"Missouri, Point Lookout","Private, Non-profit","Selective private","",0.000,1525,21,0.546,0.179,0.574,0.045,"Data Unavailable",19660,19660,30193,11349,9530,"Data Unavailable","Data Unavailable",0.578,0.033,0.185,38892,38780,35520
"Fayetteville-Springdale-Rogers, AR-MO","Ecclesia College",46,30,"Data Unavailable","Data Unavailable",Data Unavailable,0.522,0.022,0.022,0.109,0.196,0.000,0.000,0.609,0.391,45,40,29,37,"Arkansas, Springdale","Private, Non-profit","Data Unavailable","",0.491,205,6,0.533,0.225,0.391,0.348,3,15950,15950,28150,18838,16270,0.634,14109,0.151,0.022,0.096,31006,36421,30747
"Fayetteville-Springdale-Rogers, AR-MO","John Brown University",650,586,26075,46478,0.561,0.732,0.020,0.012,0.046,0.065,0.042,0.045,0.383,0.617,588,625,683,678,"Arkansas, Siloam Springs","Private, Non-profit","Selective private","",0.332,1447,330,0.289,0.083,0.617,0.189,542,27668,27668,39802,21963,17426,0.886,21500,0.621,0.021,0.254,51097,51785,39183
"Fayetteville-Springdale-Rogers, AR-MO","North Arkansas College",701,753,8243,25194,0.327,0.846,0.010,0.006,0.000,0.086,0.001,0.044,0.448,0.552,631,661,924,751,"Arkansas, Harrison","Public","Two-year (public and private not-for-profit)","",0.495,1286,390,0.488,0.224,0.552,0.151,"Data Unavailable",2352,4632,9962,4702,3819,0.226,8999,0.154,0.020,0.091,27013,30771,28194
"Fayetteville-Springdale-Rogers, AR-MO","NorthWest Arkansas Community College",1591,970,7302,23297,0.313,0.642,0.040,0.028,0.020,0.217,0.024,0.003,0.308,0.692,1372,1077,939,1048,"Arkansas, Bentonville","Public","Two-year (public and private not-for-profit)","",0.441,6102,2281,0.255,0.129,0.692,0.313,"Data Unavailable",2632,4432,11153,6574,4764,0.489,8750,0.090,0.018,0.142,32897,37899,32745
"Fayetteville-Springdale-Rogers, AR-MO","Northwest Technical Institute",154,152,"Data Unavailable",38289,Data Unavailable,0.617,0.013,0.097,0.013,0.208,0.019,0.006,0.688,0.312,151,169,143,133,"Arkansas, Springdale","Public","Data Unavailable","",0.000,181,"Data Unavailable",0.494,0.225,0.312,0.364,"Data Unavailable",2326,2326,8343,5136,4447,"Data Unavailable","Data Unavailable",0.175,0.022,0.096,35610,38280,30747
"Fayetteville-Springdale-Rogers, AR-MO","Paul Mitchell the School-Arkansas",65,58,10054,18771,0.536,0.831,0.000,0.015,0.092,0.046,0.000,0.000,0.000,1.000,72,70,63,76,"Arkansas, Fayetteville","Private, For-profit","Data Unavailable","",0.000,102,"Data Unavailable",0.490,0.225,1.000,0.169,"Data Unavailable","Data Unavailable","Data Unavailable",28404,23492,22109,"Data Unavailable",9833,0.098,0.022,0.096,24975,24457,30747
"Fayetteville-Springdale-Rogers, AR-MO","University of Arkansas",6575,5287,21500,45696,0.471,0.753,0.009,0.021,0.044,0.074,0.006,0.030,0.465,0.535,6193,6083,6185,5749,"Arkansas, Fayetteville","Public","Selective public","",0.294,22766,259,0.194,0.072,0.535,0.180,4534,9384,25872,23390,16381,12094,0.870,21500,0.485,0.023,0.326,41416,51702,50838
"Flagstaff, AZ","Coconino Community College",673,275,7500,20596,0.364,0.559,0.205,0.018,0.003,0.146,0.022,0.042,0.374,0.626,632,446,331,348,"Arizona, Flagstaff","Public","Two-year (public and private not-for-profit)","Native American Non-tribal Institution",0.408,2611,971,0.208,0.133,0.626,0.419,"Data Unavailable",2664,9324,19144,13835,12399,0.428,10500,0.048,0.014,0.102,30156,35173,27750
"Flagstaff, AZ","Northern Arizona University",8300,7185,20250,38372,0.528,0.598,0.019,0.022,0.030,0.228,0.025,0.051,0.356,0.644,8183,8028,7236,7070,"Arizona, Flagstaff","Public","Selective public","Hispanic-serving Institution",0.459,26135,376,0.339,0.049,0.644,0.351,4222,11896,26516,27129,12915,9251,0.792,19375,0.411,0.016,0.320,44705,46950,51393
"Flint Hills Region--Emporia City","Emporia State University",1621,1402,20500,40341,0.508,0.586,0.002,0.012,0.017,0.040,0.225,0.047,0.323,0.677,1527,1544,1495,1401,"Kansas, Emporia","Public","Selective public","",0.585,3258,147,0.353,0.057,0.677,0.118,2472,6797,20714,18820,14822,11624,0.858,19500,0.290,0.007,0.128,36676,40772,41625
"Flint Hills Region--Emporia City","Flint Hills Technical College",388,444,9500,32925,0.289,0.665,0.003,0.023,0.026,0.253,0.000,0.028,0.392,0.608,397,430,422,450,"Kansas, Emporia","Public","Data Unavailable","",0.155,398,1116,0.167,0.225,0.608,0.332,"Data Unavailable",6200,6200,17850,13170,11851,0.803,8000,0.731,0.022,0.096,37306,39088,30747
"Flint Hills Region--Emporia City","Southwestern College",498,669,21500,54661,0.393,0.467,0.008,0.018,0.089,0.075,0.273,0.023,0.630,0.370,588,637,627,652,"Kansas, Winfield","Private, Non-profit","Selective private","",0.599,1330,29,0.408,0.114,0.370,0.216,153,31650,31650,44558,23507,22411,0.741,23250,0.367,0.027,0.238,45450,50205,47286
